"date","mkt","smb","hml","rmw","cma","E","S","G","Total"
2014-05-26,0.007551378,0.000217278,-0.002232608,0.003754046,0.003152354,1.84895700050672e-05,2.9965635438477e-05,2.20465747356587e-05,2.4538542112359e-05
2014-05-27,0.004548308,0.000477863,-0.001509206,0.007992523,0.002183379,-9.25393787438372e-05,-2.91556961175698e-06,-3.07597124737083e-05,-1.62174632341333e-05
2014-05-28,0.004912085,0.007932741,0.000862578,-0.001605955,-0.00188293,7.28935016936881e-05,8.33606815639111e-05,8.32201944478712e-05,0.000116624059592529
2014-05-29,0.018749172,-0.010518743,0.000385939,-0.003312224,-0.000295804,0.000138146644560798,7.43343573878902e-05,1.19696077826822e-05,0.00010238049694344
2014-05-30,0.009178375,-0.003536584,-0.007517352,0.000198141,0.0070581,3.79293488864953e-05,-3.41147901131588e-05,-6.32640338150514e-05,-9.96754171767581e-06
2014-06-02,-0.003696427,0.004807169,0.000546897,-0.002946773,0.00027053,-8.6355976082067e-05,-0.000104766528487745,7.26287165773193e-05,-5.1759821739416e-05
2014-06-03,0.002869725,0.000732216,-0.003227984,-0.007155297,-0.00023482,8.98562629847505e-06,1.1026886233465e-05,-7.28391155908017e-05,-4.45919992241789e-05
2014-06-04,0.004229157,0.004590804,-0.000576612,0.001146206,-0.004443269,1.11453116507976e-05,3.46191167554134e-05,5.99117775063162e-05,6.28052330094343e-05
2014-06-05,-0.000460695,-6.68e-05,0.011670465,-0.003063372,-0.005658356,-5.51411814486672e-05,-2.74600618907324e-05,0.000122461098266558,7.55924904686309e-05
2014-06-06,0.008178636,-0.001924998,0.003250412,-0.006112752,-0.008947571,1.59121931176739e-06,4.93766496845121e-05,-0.00010812147999763,-4.42960882469775e-05
2014-06-09,-0.003964839,0.005144001,0.010429791,-0.010190369,-0.002149858,-9.61619653654474e-05,-2.84426655575917e-05,-6.15606853831934e-05,-5.50622945942854e-05
2014-06-10,-0.004949668,0.01106264,-0.003760184,-0.002533713,-0.000406018,-7.54468615421062e-05,-4.02794732766112e-05,-2.40942619289812e-06,-4.66056606153574e-05
2014-06-11,-0.00065254,0.003352888,0.002136269,-0.000578288,-0.003629544,9.17773664271253e-05,5.38358203676188e-05,2.59163152647519e-05,5.2865124850351e-05
2014-06-12,0.011036173,-0.004773881,-0.009001516,0.002731601,0.000836409,7.08629135193188e-05,9.02670868324395e-05,3.25038066972476e-05,8.61809512028482e-05
2014-06-13,-0.000871804,-0.001136197,-0.00074923,-0.001054728,-0.00127612,3.97582075220585e-05,4.48352045305451e-05,6.46040062806793e-05,3.3486708635652e-05
2014-06-16,-0.013637639,0.002901159,0.006013906,-0.00062875,-0.002978801,2.31655512503905e-05,-3.90290657469557e-06,7.24449461600259e-06,3.15867588891665e-05
2014-06-17,0.007484406,0.000571933,-0.003427822,-0.004200388,0.001092514,-2.15088774066349e-06,1.64528682385899e-05,-4.43312996760842e-05,-1.9429051060015e-05
2014-06-18,0.003524649,0.002961189,0.004587531,-0.002355077,-0.004208759,6.8966900620797e-05,1.32824119056774e-06,-7.5269108733289e-06,2.04173503306023e-05
2014-06-19,0.000469508,0.00384309,-0.003977214,-0.002530023,0.006086932,5.83289030047465e-05,-1.86811649131917e-05,6.51335376601404e-05,2.20575040935833e-05
2014-06-20,-0.005482508,0.003963491,0.005235383,-0.003109034,0.000410332,4.24502837085026e-06,3.71648589204721e-05,-1.10626293519016e-05,2.32150416296724e-05
2014-06-23,0.005294845,-1.93e-05,-0.003986745,-0.003644708,-0.001002919,2.66874465229825e-05,5.483223933161e-05,4.08126478385966e-05,1.32100585723045e-05
2014-06-24,0.006350775,-0.001337194,-0.003092931,0.006901736,0.001871066,-7.14772422289549e-05,-0.000109387570743555,-7.54591650946578e-05,-6.2053757924572e-05
2014-06-25,0.003989807,0.000398061,-0.000494257,-0.00050259,0.002029625,7.90184880218634e-05,5.59010628696932e-05,0.000101592011461813,0.00011639761694412
2014-06-26,0.001792724,-0.000219082,0.00335502,0.003280158,-0.004914158,0.000164831871391674,1.39902260264645e-05,0.000118998102472514,0.000125520601828168
2014-06-27,0.003882285,0.000598794,0.003995021,-0.012725173,-0.000432767,3.45422787075822e-05,3.9155229073005e-05,-7.77062311402467e-05,-1.26891417198022e-05
2014-06-30,0.000825333,0.00294258,0.001964336,-0.005047056,0.002081617,3.78482744496021e-06,5.60597104861598e-05,3.88616513042887e-05,1.3603484689599e-05
2014-07-02,0.001835484,-0.000590597,0.003237209,-0.001848131,-0.000646336,-0.000227709024669791,-7.46178706634381e-05,-5.08557157418963e-05,-0.000177492538125558
2014-07-03,0.005100882,-0.001990229,-0.002751571,0.006800894,0.001352391,-3.77342603450428e-05,-4.48401119593855e-05,-9.68804213639998e-05,-0.00010271113378468
2014-07-04,0.00279636,-0.004061518,0.001208791,-0.005940161,0.000451998,-4.82338902535754e-05,2.46887689329978e-05,1.47768771837352e-05,4.67846294648965e-05
2014-07-07,0.00017985,0.004946758,-0.000269384,-0.000300401,0.003969762,6.67298134124317e-05,3.36595075574833e-05,-5.50276745134107e-05,-4.9186707966877e-06
2014-07-08,0.006714806,-0.004691182,-0.004106614,-0.003371469,0.005849936,-5.75167600664216e-05,-3.40774002549085e-05,-7.14693298453115e-05,-4.15433989480985e-05
2014-07-09,0.007246254,-0.004665032,0.005082771,-0.00855918,-0.007081062,0.000154671513119278,0.000146903005325834,-1.12710587308977e-05,0.00010380462131664
2014-07-10,-0.003036574,0.000721143,0.005471593,-0.00060074,0.002244085,-9.08058398993502e-06,-3.06178221336475e-05,-7.26504027184413e-06,-2.06977007852391e-05
2014-07-14,0.003789992,0.002859756,0.002851479,-0.001612013,0.004884021,5.31922534863795e-05,5.53007074290744e-05,8.85380874329903e-06,7.58080162253841e-05
2014-07-15,0.003323034,0.001815864,0.000547868,-0.008118107,0.004674733,-3.46069205361472e-05,9.05588322113098e-06,-5.07229043055264e-05,2.70996027556393e-05
2014-07-16,-0.001666564,0.005276408,0.006719998,-0.00305897,0.005684546,7.19884706437223e-05,-3.80257332978753e-05,4.07075218136742e-05,2.16177576973861e-05
2014-07-17,0.003048008,0.002235642,0.004902551,-0.001026412,0.006680155,-6.04540913636934e-05,1.07034286332811e-05,-4.55248036527184e-05,-0.000104474794879623
2014-07-18,-0.011780727,-0.001701895,-0.000362132,-0.003664584,-0.002474981,6.24982363243528e-05,3.52852607573868e-05,8.3020622133365e-05,8.95072117819089e-05
2014-07-21,0.014351009,-0.001746037,0.001156452,0.001566473,-0.00138015,-5.52234116296771e-05,5.38928733565077e-05,-6.11995409997569e-05,-7.56184988958795e-05
2014-07-22,0.002422051,-0.000614251,0.016931578,-0.000171192,-0.002894006,9.20651421718352e-06,-3.60024471191611e-05,-7.61926645193357e-05,-1.72696416048955e-05
2014-07-23,-7.33e-05,0.002808467,0.000810485,0.002735984,-0.002089816,4.47116616569001e-05,5.9908103623319e-05,-8.36039245922827e-05,3.18290324316738e-05
2014-07-24,-0.003889954,0.007425392,0.002805516,3.21e-05,-0.006284228,1.7978750248498e-06,1.48957057219396e-05,-5.46936542945122e-05,-1.09728840115563e-05
2014-07-25,-0.011305799,-0.006186727,0.001191988,0.009775076,-0.000736376,2.84516073749657e-05,-1.09564229282187e-05,0.000102034862534655,0.000116919640893215
2014-07-28,-0.001338171,-0.013422635,-0.014145358,-0.003065291,0.004557953,-9.68379216531228e-05,3.6252059214029e-05,-4.20203215207548e-05,-1.00013104600043e-05
2014-07-29,-0.011281721,-0.002980562,0.000731214,-8.18e-06,0.006057593,-4.13196639830369e-05,-0.000106967224437083,2.10353323125586e-05,-2.42886830757957e-05
2014-07-30,-0.000395111,0.00448383,-0.013182818,0.003986135,-0.006070727,2.7358099720894e-05,-2.79037077324179e-05,2.6735859603959e-05,5.13943815278893e-05
2014-07-31,0.012708874,-0.003892547,0.012376726,-0.006617614,0.005063295,0.000182476374941525,0.000242277110918896,-6.46499788740554e-06,0.000156476906525883
2014-08-01,0.007573386,0.005289023,-0.003672546,0.00294039,-0.006721169,-3.06349809276995e-05,-7.28911463635759e-05,-5.13977605383338e-05,-0.000112227736139175
2014-08-04,-0.004123444,-4.35e-05,-0.000883167,0.000600779,0.00040637,4.06492807166855e-07,-2.49077835681297e-05,-6.40752270601711e-05,-2.90179477230312e-06
2014-08-05,0.000248244,-0.001596093,0.002014875,-0.001886339,0.001301871,-2.66265735461324e-05,-2.71391874725326e-05,-3.2737591955436e-05,5.36374104057999e-06
2014-08-06,-0.001008558,0.00856458,-0.002259534,0.001645952,-0.006430196,-8.51120445830277e-05,-7.46255210609284e-05,-7.71585650030894e-05,-4.43991933903195e-05
2014-08-07,0.017681264,-0.016086477,0.003690254,-0.001968838,0.007233651,0.000214118442115811,0.000385640324696189,3.74604467527249e-05,0.00026264937182911
2014-08-08,-0.001779506,0.001619515,0.005596779,-0.003435776,0.005731584,-0.000230745223751873,-0.000245783243528833,0.000148645837877292,-0.000161793036044176
2014-08-13,0.003071548,0.002806039,0.001185084,-0.003235035,0.002624954,-9.05541330772597e-05,-0.000121173768663513,-3.4406977746182e-05,-0.000158138350122112
2014-08-14,-0.002523309,0.01201669,0.000918674,-0.011485671,-0.003508537,-9.04551663313639e-05,-0.000153364530884278,-9.43224096661203e-05,-0.000144061071772833
2014-08-15,0.000665245,0.00303295,-0.001328642,-0.005303469,0.002593008,-3.20279667764159e-05,-2.19402015364509e-05,7.72350548280666e-05,5.82475290436018e-05
2014-08-18,0.005306448,0.001816403,-0.006531232,0.004823979,0.005191333,-7.33203882836673e-05,-5.42823074844178e-05,5.55951457907835e-05,-5.39226462361671e-05
2014-08-19,0.000598792,0.005373104,-0.000322227,-0.005750764,-0.00100553,1.95267476118036e-05,-2.24179398575678e-05,-6.35824506812911e-05,-4.22614891565645e-05
2014-08-20,0.003965276,0.006253862,-0.001868189,-0.003888719,0.006392395,3.48504398930814e-05,-5.02527761665288e-05,-6.21049882310422e-06,-5.05597507508664e-06
2014-08-21,0.004229509,0.00321701,-0.004857608,-0.004496638,0.000421042,3.60438961427369e-05,6.01054876893757e-05,4.64229687461138e-05,-5.26256821009925e-06
2014-08-22,-0.001295825,0.005981104,0.002486732,-0.001098821,0.001511841,6.51737199073932e-05,3.93361299812653e-05,-3.37050865090695e-05,3.81102314516219e-05
2014-08-25,0.003623082,-0.001131162,-0.001896752,-0.004573113,0.000653542,4.74533190916606e-05,6.36218692239067e-05,-5.16815083123761e-05,2.51082222621486e-05
2014-08-26,-0.003209542,0.00388158,-0.005443511,0.001624341,-0.003133968,4.73938337118188e-06,-6.41058551217601e-05,1.08239069419737e-05,-2.64304895519523e-05
2014-08-27,0.001543413,0.005592118,-0.000617927,-0.008542964,-0.000984684,-7.26997787936099e-05,-5.10601479073185e-05,-6.40598001213499e-05,-7.27407338632173e-05
2014-08-28,0.002958666,0.010502271,0.000489373,0.005179195,-0.001801988,9.3163358986263e-05,1.79524875418509e-05,-5.67068047055664e-05,6.42125771779898e-07
2014-08-29,0.002195011,0.00208681,0.006219983,-0.003541881,0.002960488,2.48037502875037e-05,5.96934204755382e-06,-6.93835257058995e-06,3.96163447965364e-05
2014-09-01,0.009630067,-0.002118552,0.000786723,0.000925265,0.007768991,6.68495408475228e-05,0.000145942396490955,1.71309763405233e-05,0.000104229888103936
2014-09-02,-0.001699901,0.004636878,0.010837425,-0.00302772,-0.002792604,8.04516381522483e-05,6.90179319337432e-05,4.54986103672721e-05,7.10817125484253e-05
2014-09-03,0.003233534,0.004890828,-0.001085643,-0.003849257,-0.001610799,-0.000141022755761731,-0.000117668940873962,-3.1642566282021e-05,-0.00014705455282853
