,G,E,S
28/7/2016,-0.128032485,0.005666568,-0.038228491
29/7/2016,-0.206999298,-0.142243057,-0.150132946
1/8/2016,-0.076573934,0.014561189,-0.013414926
2/8/2016,0.051747324,0.073479809,0.025601238
3/8/2016,0.010863309,-0.028922364,0.051474889
4/8/2016,-0.100149476,0.075005927,0.004375432
5/8/2016,0.000858368,0.027171647,0.125984487
8/8/2016,0.225404903,0.153518574,0.305350925
9/8/2016,0.089197371,0.042997529,0.030572037
10/8/2016,0.01562762,0.101198305,-0.057687352
11/8/2016,-0.141691217,0.227147648,0.098524025
15/8/2016,0.075405033,0.247627284,0.15672246
16/8/2016,-0.1288183,0.101977482,-0.051871872
17/8/2016,0.060544601,-0.059736075,0.098567581
18/8/2016,-0.050476055,0.088252619,0.024515978
19/8/2016,-0.099180521,-0.063694064,0.010014235
22/8/2016,0.100050122,0.019598483,-0.021025347
23/8/2016,0.041715357,0.040414697,0.042046026
24/8/2016,-0.129642443,-0.05434514,-0.037894131
25/8/2016,0.081833703,0.125760081,0.079797233
26/8/2016,0.051351818,-0.050897936,-0.008540326
29/8/2016,-0.062996115,-0.033447831,-0.113409205
30/8/2016,0.078384916,0.12447453,-0.064172329
31/8/2016,-0.038787409,0.040837989,0.113331106
1/9/2016,-0.019430259,-0.006153341,-0.115034285
2/9/2016,-0.068913784,-0.097037897,-0.106364748
5/9/2016,0.062211604,-0.009105299,-0.111129783
6/9/2016,0.073327083,-0.067216229,0.106027931
7/9/2016,-0.02846478,0.093277857,-0.040036039
8/9/2016,-0.063452665,-0.023240264,0.003441127
9/9/2016,0.114084704,0.091185867,-0.027314551
12/9/2016,0.020054981,-0.137589593,-0.032754734
13/9/2016,0.090076183,0.169959289,0.221854557
14/9/2016,-0.137389827,-0.110063266,-0.06324204
15/9/2016,-0.09856801,-0.14686341,-0.065517806
16/9/2016,0.087847848,-0.009833987,0.069013547
19/9/2016,0.024734093,0.120311217,-0.001176322
20/9/2016,-0.030715664,-0.047734441,-0.037828205
21/9/2016,0.045980309,0.038053355,0.046939171
22/9/2016,-0.017423029,0.143297838,0.144990699
23/9/2016,0.032430334,-0.023256787,-0.044843166
26/9/2016,-0.088816352,0.05000511,0.050108192
